cfg,a_sharpe,a_calmar,a_cagr,a_dd,a_in,b_sharpe,b_calmar,b_cagr,b_dd,b_in
up= 20 down=  5 vWin=10 vEntry=off vExit=off,0.28096071705330417,0.1070319314616709,3.534499820958259,-33.02285376606508,16.087912087912088,0.3581451585640154,0.15049154294162662,5.309542424406444,-35.281334223983166,12.982126058325495
up= 20 down=  5 vWin=10 vEntry=off vExit= 60,0.29016647474483065,0.09402051144483914,2.828429812079003,-30.083114509948327,11.56043956043956,0.09451724553499889,0.018644479326459136,0.413436314403981,-22.174731037796093,6.208842897460019
up= 20 down=  5 vWin=10 vEntry=off vExit= 70,0.389280603207948,0.136552153939952,4.3770337255243374,-32.05393396759683,13.186813186813188,-0.1579388330171996,-0.08738177256463105,-3.2236284688971883,-36.89131467907525,8.325493885230479
up= 20 down=  5 vWin=10 vEntry=off vExit= 80,0.2570056451502728,0.08436717165706352,2.7042997493284204,-32.05393396759683,14.109890109890111,0.2671531235654179,0.08481285060652223,3.12885756055461,-36.89131467907525,10.677328316086546
up= 20 down=  5 vWin=10 vEntry=off vExit=100,0.37858125421030303,0.14535106579078239,4.799906990350711,-33.022853766065076,15.692307692307692,0.11413629026897552,0.010075362539733552,0.4349353270989731,-43.16820614481583,11.665098777046095
up= 20 down=  5 vWin=10 vEntry=off vExit=120,0.28298877139566625,0.10014452242768217,3.3070579196017746,-33.0228537660651,15.736263736263737,0.3152844474381154,0.12220651572941034,4.311608925797783,-35.28133422398317,12.699905926622765
up= 20 down=  5 vWin=10 vEntry=off vExit=150,0.28096071705330417,0.1070319314616709,3.534499820958259,-33.02285376606508,16.087912087912088,0.3152844474381154,0.12220651572941034,4.311608925797783,-35.28133422398317,12.699905926622765
up= 20 down=  5 vWin=10 vEntry= 90 vExit=off,0.30579143387616636,0.10652330456984527,3.5177035094880127,-33.02285376606508,15.032967032967031,0.1575074756750221,0.02928173805596474,1.2288065533152537,-41.9649458979073,11.147695202257761
up= 20 down=  5 vWin=10 vEntry= 90 vExit= 60,0.18282462427738755,0.049040314320693314,1.4752853913132746,-30.083114509948306,11.384615384615385,0.1631027921924232,0.05316000662986871,1.2327940797951964,-23.19025444030952,5.9266227657572905
up= 20 down=  5 vWin=10 vEntry= 90 vExit= 70,0.2922527157153927,0.0937017855810193,3.003510847659907,-32.053933967596805,13.010989010989011,-0.10349642586023657,-0.06453562691063743,-2.43394857713336,-37.71480488604616,8.043273753527751
up= 20 down=  5 vWin=10 vEntry= 90 vExit= 80,0.23868366106467226,0.07437813335159751,2.384111775085218,-32.05393396759683,13.802197802197803,0.3164846818585432,0.10527358542657912,3.970372734017946,-37.71480488604618,10.395108184383819
up= 20 down=  5 vWin=10 vEntry= 90 vExit=100,0.30579143387616636,0.10652330456984527,3.5177035094880127,-33.02285376606508,15.032967032967031,0.1575074756750221,0.02928173805596474,1.2288065533152537,-41.9649458979073,11.147695202257761
up= 20 down=  5 vWin=10 vEntry= 90 vExit=120,0.30579143387616636,0.10652330456984527,3.5177035094880127,-33.02285376606508,15.032967032967031,0.1575074756750221,0.02928173805596474,1.2288065533152537,-41.9649458979073,11.147695202257761
up= 20 down=  5 vWin=10 vEntry= 90 vExit=150,0.30579143387616636,0.10652330456984527,3.5177035094880127,-33.02285376606508,15.032967032967031,0.1575074756750221,0.02928173805596474,1.2288065533152537,-41.9649458979073,11.147695202257761
up= 20 down=  5 vWin=10 vEntry=120 vExit=off,0.2748450600808827,0.09600676625079244,3.1704174024527187,-33.02285376606516,15.736263736263737,0.314594374111147,0.12181413349424945,4.297765157015521,-35.281334223983194,12.652869238005646
up= 20 down=  5 vWin=10 vEntry=120 vExit= 60,0.2747837137500719,0.08754605196280021,2.6336579060908027,-30.083114509948295,11.516483516483516,0.09340680137825953,0.01804350604844059,0.40010989360301785,-22.174731037796136,6.161806208842897
up= 20 down=  5 vWin=10 vEntry=120 vExit= 70,0.37522357882866614,0.13038426247952495,4.179328539932503,-32.05393396759681,13.142857142857142,-0.1588708206918238,-0.08772992296238642,-3.2364721947764297,-36.89131467907528,8.27845719661336
