entry_date,entry_px,exit_date,exit_px,ret_pct,days
2009-04-14,0.2959,2010-02-24,0.719,142.98749577559983,316
2010-03-31,0.858,2010-06-04,0.6716,-21.724941724941726,65
2010-10-01,0.7491,2011-04-06,1.0697,42.79802429582167,187
2011-11-07,0.9706,2012-05-23,1.0867,11.961673191840095,198
2012-08-17,1.33,2012-11-09,1.0242,-22.99248120300752,84
2013-01-31,1.152,2014-10-20,2.4442,112.17013888888889,627
2014-11-11,3.0619,2015-02-12,3.3636,9.85335902544171,93
2015-02-24,3.5643,2015-07-16,3.4384,-3.532250371741985,142
2015-11-05,3.6385,2016-01-20,2.4826,-31.768585955750993,76
2016-03-31,3.5857,2016-06-21,3.3802,-5.731098530273037,82
2016-07-19,3.7485,2016-12-06,4.215,12.444977991196481,140
2016-12-09,4.5833,2018-04-11,10.4978,129.0445748696354,488
2018-05-22,12.1381,2018-10-23,12.1596,0.17712821611288732,154
2019-02-28,11.1795,2019-10-03,14.5291,29.961983988550458,217
2019-10-29,16.6247,2020-03-18,9.0205,-45.740374262392706,141
2020-06-09,20.3943,2020-11-27,31.4374,54.14797271786724,171
2020-12-01,33.3672,2022-02-02,65.2209,95.46410846579876,428
2022-08-17,41.5598,2022-09-30,19.8998,-52.11767140361601,44
2022-12-28,19.1532,2023-09-18,44.5837,132.77415784307584,264
2023-11-20,56.328,2024-04-30,61.2423,8.724435449510004,162
2024-06-11,84.2864,2024-08-23,82.1041,-2.5891484272670295,73
2024-10-24,84.3848,2025-02-03,77.1614,-8.560072430105892,102
2025-06-10,75.998,2026-01-06,123.8109,62.91336614121423,210
2026-04-29,145.1,2026-06-17,216.97,49.53135768435561,49
