date,price,slope_up,slope_down,slope_up_prev,slope_down_prev,slope,vol,in_market,asset_ret,strat_ret,strat_equity,bh_equity
2009-02-13,0.2546,0.0026551879699248113,9.79831144465288e-05,0.0026779699248120287,,0.0026551879699248113,123.8199422147392,True,-0.010108864696733999,-0.010108864696733999,98989.1135303266,98989.1135303266
2009-02-17,0.2212,0.0022366917293233078,8.53470919324576e-05,0.0026551879699248113,9.79831144465288e-05,0.0022366917293233078,133.72719773698657,True,-0.13118617439120184,-0.13118617439120184,86003.11041990669,86003.11041990669
2009-02-18,0.2221,0.0012848872180451125,-7.138836772983328e-06,0.0022366917293233078,8.53470919324576e-05,0.0012848872180451125,118.78658760727771,True,0.004068716094032476,0.004068716094032476,86353.03265940903,86353.03265940903
2009-02-19,0.2018,0.0004620300751879697,-0.0001393433395872423,0.0012848872180451125,-7.138836772983328e-06,0.0004620300751879697,113.27140847231472,False,-0.09140027014858165,0.0,86353.03265940903,78460.34214618974
2009-02-20,0.202,-0.000509097744360902,-0.0003563227016885555,0.0004620300751879697,-0.0001393433395872423,-0.000509097744360902,111.83107171627975,False,0.0009910802775026095,0.0,86353.03265940903,78538.10264385694
2009-02-23,0.1765,-0.0016694736842105264,-0.0006517354596622892,-0.000509097744360902,-0.0003563227016885555,-0.0016694736842105264,119.56206831498994,False,-0.12623762376237635,0.0,86353.03265940903,68623.63919129083
2009-02-24,0.1916,-0.002455187969924812,-0.0008828893058161354,-0.0016694736842105264,-0.0006517354596622892,-0.002455187969924812,123.55130327269053,False,0.08555240793201135,0.0,86353.03265940903,74494.5567651633
2009-02-25,0.193,-0.0030178195488721805,-0.0010916041275797375,-0.002455187969924812,-0.0008828893058161354,-0.0030178195488721805,122.38393373962208,False,0.007306889352818535,0.0,86353.03265940903,75038.88024883361
2009-02-26,0.1865,-0.003229398496240601,-0.0013322889305816136,-0.0030178195488721805,-0.0010916041275797375,-0.003229398496240601,116.01040026712366,False,-0.033678756476683946,0.0,86353.03265940903,72511.66407465009
2009-02-27,0.1849,-0.0037354135338345854,-0.0015165290806754225,-0.003229398496240601,-0.0013322889305816136,-0.0037354135338345854,112.03265752324027,False,-0.00857908847184985,0.0,86353.03265940903,71889.58009331262
2009-03-02,0.1681,-0.004716240601503758,-0.0017200281425891184,-0.0037354135338345854,-0.0015165290806754225,-0.004716240601503758,112.75823564527447,False,-0.09085992428339651,0.0,86353.03265940903,65357.698289269065
2009-03-03,0.1686,-0.005503082706766916,-0.0017920919324577865,-0.004716240601503758,-0.0017200281425891184,-0.005503082706766916,111.68476913426693,False,0.002974419988102328,0.0,86353.03265940903,65552.09953343702
2009-03-04,0.181,-0.005852857142857142,-0.0017898405253283305,-0.005503082706766916,-0.0017920919324577865,-0.005852857142857142,113.65433247114989,False,0.07354685646500592,0.0,86353.03265940903,70373.2503888025
2009-03-05,0.1633,-0.0062969924812030075,-0.0017387711069418387,-0.005852857142857142,-0.0017898405253283305,-0.0062969924812030075,117.19515424932283,False,-0.09779005524861872,0.0,86353.03265940903,63491.44634525662
2009-03-06,0.1589,-0.006469548872180451,-0.001800731707317073,-0.0062969924812030075,-0.0017387711069418387,-0.006469548872180451,113.79052719019236,False,-0.026944274341702323,0.0,86353.03265940903,61780.715396578555
2009-03-09,0.1467,-0.006236691729323307,-0.0018694559099437151,-0.006469548872180451,-0.001800731707317073,-0.006236691729323307,105.000495875264,False,-0.07677784770295792,0.0,86353.03265940903,57037.32503888026
