date,price,slope_up,slope_down,slope_up_prev,slope_down_prev,slope,vol,in_market,asset_ret,park_ret,strat_ret,strat_equity,bh_equity
2009-04-14,0.2959,0.004394661654135339,4.283872480074998e-05,0.004840375939849624,,0.004394661654135339,94.52414236562635,False,-0.02439828552588197,0.0,0.0,100000.0,97560.1714474118
2009-04-15,0.2901,0.00404421052631579,0.00012167369901547107,0.004394661654135339,4.283872480074998e-05,0.00404421052631579,95.70397154209621,False,-0.019601216627238793,0.0,0.0,100000.0,95647.87339268053
2009-04-16,0.3177,0.00413421052631579,0.00020295007032348795,0.00404421052631579,0.00012167369901547107,0.00413421052631579,98.84540026708831,False,0.09513960703205782,0.0,0.0,100000.0,104747.77448071218
2009-04-17,0.3175,0.0041447368421052636,0.00028991443975621175,0.00413421052631579,0.00020295007032348795,0.0041447368421052636,91.02516919438966,False,-0.0006295247088446976,0.0,0.0,100000.0,104681.83316848008
2009-04-20,0.2868,0.003395187969924813,0.0003235712611345521,0.0041447368421052636,0.00028991443975621175,0.003395187969924813,104.05351365141244,False,-0.09669291338582675,0.0,0.0,100000.0,94559.84174085066
2009-04-21,0.3019,0.0033906015037593984,0.00037239099859353014,0.003395187969924813,0.0003235712611345521,0.0033906015037593984,106.43878413060774,False,0.05264993026499298,0.0,0.0,100000.0,99538.41081437524
2009-04-22,0.3042,0.0031930827067669183,0.00042148030942334725,0.0033906015037593984,0.00037239099859353014,0.0031930827067669183,93.59341830069577,False,0.0076184166942696585,0.0,0.0,100000.0,100296.73590504454
2009-04-23,0.3086,0.002965563909774437,0.0004754805438349741,0.0031930827067669183,0.00042148030942334725,0.002965563909774437,90.13513470872734,False,0.014464168310321934,0.0,0.0,100000.0,101747.44477415101
2009-04-24,0.3275,0.0033815037593984973,0.0005414193624003749,0.002965563909774437,0.0004754805438349741,0.0033815037593984973,85.19357105940067,False,0.06124432922877521,0.0,0.0,100000.0,107978.89878008573
2009-04-27,0.323,0.003325187969924813,0.0006143741209563993,0.0033815037593984973,0.0005414193624003749,0.003325187969924813,85.04140438119828,False,-0.013740458015267132,0.0,0.0,100000.0,106495.21925486319
2009-04-28,0.3177,0.0027351127819548885,0.0006883485700890763,0.003325187969924813,0.0006143741209563993,0.0027351127819548885,84.30446345963097,False,-0.016408668730650278,0.0,0.0,100000.0,104747.77448071218
2009-04-29,0.3363,0.00246827067669173,0.0008062025316455695,0.0027351127819548885,0.0006883485700890763,0.00246827067669173,86.22030045037589,False,0.05854579792256853,0.0,0.0,100000.0,110880.31651829873
2009-04-30,0.3407,0.002423533834586467,0.0009288478668541961,0.00246827067669173,0.0008062025316455695,0.002423533834586467,75.12171977022398,False,0.013083556348498337,0.0,0.0,100000.0,112331.02538740523
2009-05-01,0.3471,0.002739548872180452,0.0010794456165025784,0.002423533834586467,0.0009288478668541961,0.002739548872180452,75.196189784102,False,0.01878485471088931,0.0,0.0,100000.0,114441.14737883284
2009-05-04,0.3666,0.0034521052631578952,0.00121663033286451,0.002739548872180452,0.0010794456165025784,0.0034521052631578952,46.15700320772793,False,0.05617977528089879,0.0,0.0,100000.0,120870.42532146389
2009-05-05,0.3616,0.003849473684210526,0.0013510642287857476,0.0034521052631578952,0.00121663033286451,0.003849473684210526,47.135981633432316,False,-0.013638843426077463,0.0,0.0,100000.0,119221.89251566105
2009-05-06,0.3601,0.0037337593984962405,0.0014646554149085795,0.003849473684210526,0.0013510642287857476,0.0037337593984962405,48.22180312556714,False,-0.00414823008849563,0.0,0.0,100000.0,118727.33267392019
2009-05-07,0.3257,0.0032414285714285705,0.0015347093295827471,0.0037337593984962405,0.0014646554149085795,0.0032414285714285705,76.19531972237664,False,-0.09552901971674532,0.0,0.0,100000.0,107385.42696999668
2009-05-08,0.3239,0.003049924812030075,0.0015959751523675575,0.0032414285714285705,0.0015347093295827471,0.003049924812030075,70.02143924997083,False,-0.005526558182376351,0.0,0.0,100000.0,106791.95515990767
2009-05-11,0.3261,0.002788872180451127,0.0016348839662447255,0.003049924812030075,0.0015959751523675575,0.002788872180451127,69.73592268306585,False,0.006792219820932255,0.0,0.0,100000.0,107517.30959446091
2009-05-12,0.3199,0.002288120300751879,0.001669633145804032,0.002788872180451127,0.0016348839662447255,0.002288120300751879,69.93459822404753,False,-0.019012572830420016,0.0,0.0,100000.0,105473.1289152654
2009-05-13,0.2955,0.0013111278195488722,0.0016872245663384904,0.002288120300751879,0.001669633145804032,0.0013111278195488722,72.663214106508,False,-0.07627383557361689,0.0,0.0,100000.0,97428.28882294756
2009-05-14,0.3071,0.0009275187969924804,0.001680266057196437,0.0013111278195488722,0.0016872245663384904,0.0009275187969924804,76.25141552443446,False,0.039255499153976414,0.0,0.0,100000.0,101252.88493241016
2009-05-15,0.3084,0.0005752631578947367,0.0016994432723863103,0.0009275187969924804,0.001680266057196437,0.0005752631578947367,75.05232777647582,False,0.004233148811462195,0.0,0.0,100000.0,101681.50346191891
2009-05-18,0.3329,0.00010195488721804428,0.0017281528363806845,0.0005752631578947367,0.0016994432723863103,0.00010195488721804428,81.01560887827102,False,0.07944228274967569,0.0,0.0,100000.0,109759.31421035281
2009-05-19,0.3416,-7.796992481203038e-05,0.0017716104078762305,0.00010195488721804428,0.0017281528363806845,-7.796992481203038e-05,82.86611245992597,False,0.026133974166416385,0.0,0.0,100000.0,112627.76129244975
2009-05-20,0.3317,-0.0004227067669172931,0.0018084470229723392,-7.796992481203038e-05,0.0017716104078762305,-0.0004227067669172931,83.70073986354427,False,-0.028981264637002346,0.0,0.0,100000.0,109363.66633696016
2009-05-21,0.3178,-0.0009378947368421048,0.001838834974214721,-0.0004227067669172931,0.0018084470229723392,-0.0009378947368421048,69.7731439476258,False,-0.041905336147120775,0.0,0.0,100000.0,104780.7451368283
2009-05-22,0.3136,-0.0012284962406015033,0.0018860654008438817,-0.0009378947368421048,0.001838834974214721,-0.0012284962406015033,69.97778658179293,False,-0.013215859030837107,0.0,0.0,100000.0,103395.97757995389
2009-05-26,0.3446,-0.001126390977443608,0.001937627754336615,-0.0012284962406015033,0.0018860654008438817,-0.001126390977443608,85.53449679021507,False,0.0988520408163267,0.0,0.0,100000.0,113616.8809759315
