date,price,slope,slope_prev,in_market,asset_ret,strat_ret,strat_equity,bh_equity
2009-01-15,0.2237,0.0005887969924812034,,False,0.019598906107566094,0.0,100000.0,101959.89061075661
2009-01-16,0.2318,0.0005827067669172942,0.0005887969924812034,False,0.0362092087617345,0.0,100000.0,105651.77757520512
2009-01-20,0.1962,-0.0002578947368421044,0.0005827067669172942,False,-0.15358067299396028,0.0,100000.0,89425.70647219692
2009-01-21,0.2252,-0.0004901503759398489,-0.0002578947368421044,False,0.14780835881753318,0.0,100000.0,102643.5733819508
2009-01-22,0.2134,-0.0012430827067669166,-0.0004901503759398489,False,-0.052397868561278926,0.0,100000.0,97265.26891522335
2009-01-23,0.2234,-0.0017933082706766917,-0.0012430827067669166,False,0.04686035613870665,0.0,100000.0,101823.1540565178
2009-01-26,0.229,-0.002260300751879699,-0.0017933082706766917,False,0.0250671441360788,0.0,100000.0,104375.5697356427
2009-01-27,0.2383,-0.0025539849624060147,-0.002260300751879699,False,0.04061135371179048,0.0,100000.0,108614.40291704654
2009-01-28,0.2621,-0.002582781954887218,-0.0025539849624060147,False,0.09987410826689036,0.0,100000.0,119462.16955332729
2009-01-29,0.2377,-0.0027895488721804513,-0.002582781954887218,False,-0.09309423884013734,0.0,100000.0,108340.92980856886
2009-01-30,0.2178,-0.0031465413533834593,-0.0027895488721804513,False,-0.08371897349600332,0.0,100000.0,99270.73837739293
2009-02-02,0.2249,-0.0028861654135338356,-0.0031465413533834593,False,0.03259871441689621,0.0,100000.0,102506.83682771197
2009-02-03,0.236,-0.0023529323308270687,-0.0028861654135338356,False,0.04935526900844822,0.0,100000.0,107566.08933454881
2009-02-04,0.2408,-0.0012949624060150384,-0.0023529323308270687,False,0.02033898305084736,0.0,100000.0,109753.87420237013
2009-02-05,0.2546,-0.0004506015037593993,-0.0012949624060150384,False,0.057308970099667844,0.0,100000.0,116043.75569735645
2009-02-06,0.2822,0.0008830075187969914,-0.0004506015037593993,False,0.10840534171249017,0.0,100000.0,128623.51868732911
2009-02-09,0.2855,0.0019652631578947356,0.0008830075187969914,True,0.011693834160170002,0.011693834160170002,101169.383416017,130127.62078395626
