date,portfolio,ew_bh,tecl_only
2010-09-22,115987.93959487524,109827.90933373259,107283.46467270811
2010-09-23,114978.36066049867,108869.07037016319,107388.10230022782
2010-09-24,121878.36792953766,115407.37371564191,114279.23748402584
2010-09-27,120803.0666122094,114393.66883583515,113815.84227643855
2010-09-28,121524.68118233755,115079.8494541012,114189.54808900894
2010-09-29,120984.07744685671,114574.44152637362,114458.61627405962
2010-09-30,119416.91763645456,113088.79191673698,112291.12256115135
2010-10-01,119611.70906973117,113277.07904100239,111977.20967859222
2010-10-04,115992.02423195803,109852.33769854988,108210.25508788267
2010-10-05,123755.648057503,117196.72531865674,115325.61375922295
2010-10-06,121687.39710631629,115246.1485964291,112784.41423374428
2010-10-07,122288.67584251339,115811.38288352313,113711.20464891887
2010-10-08,124624.15085415982,118022.49126812635,115953.4395243412
2010-10-11,124970.38827082649,118350.95235536926,116222.50770939191
2010-10-12,127351.07382005252,120606.1198875233,119316.79183747477
2010-10-13,130363.35063384572,123458.6964138831,122321.38657054072
2010-10-14,129650.26071206162,122785.30385155941,122186.85247801537
2010-10-15,135258.63752683322,128079.27148822023,129556.3311019035
2010-10-18,136057.1328409246,128845.15779955316,131155.79197970475
2010-10-19,130332.28920430242,123416.59712061251,124219.81209839828
2010-10-20,133357.8426159857,126282.80665598286,126626.47753135159
2010-10-21,133980.9455404241,126868.53364682017,126656.37399635723
2010-10-22,136060.21410143696,128834.08215549894,129107.88412681902
2010-10-25,137684.10252388765,130366.91657883352,130423.3285870668
2010-10-26,138219.04719104888,130871.50080888934,131155.79197970475
2010-10-27,139183.37656112114,131783.6399165958,133293.3892276074
2010-10-28,139722.00362933183,132291.81645553952,133921.21499272567
2010-10-29,139740.97920343126,132316.67417075514,134205.23141027917
2010-11-01,140315.44658912206,132865.63285145108,135595.41703304104
2010-11-02,143983.92089230195,136333.34267538966,138839.18348615203
2010-11-03,146146.21356670445,138382.37113901306,141290.6936166138
2010-11-04,152551.3006788023,144458.85172530336,147539.05480279075
2010-11-05,153347.09842117195,145215.81758258946,147673.5888953161
2010-11-08,153624.86913239022,145480.15459303878,148719.9651705132
2010-11-09,150985.9719446736,142982.35415273884,146926.1772701753
2010-11-10,152792.62707109726,144686.00232841275,147897.81238285833
2010-11-11,148972.16236727344,141045.2968207344,140393.7996664449
2010-11-12,142450.99309995607,134882.98854610394,134788.21247788897
2010-11-15,141085.92924138092,133589.98661335337,132889.78695003138
2010-11-16,134003.69109564793,126881.3007729084,125654.84241866857
2010-11-17,134717.30377222467,127550.67694556207,125864.117673708
2010-11-18,140997.99032784434,133498.66621714554,132097.53062738213
2010-11-19,141968.3566696365,134424.59288819242,133487.716250144
2010-11-22,144354.24453691428,136673.39623439807,136492.31098320996
2010-11-23,137938.63312778578,130604.50744160693,130856.82732964843
2010-11-24,145232.7985502324,137503.72724639595,137688.16958343523
2010-11-26,143233.6920345123,135600.1715914567,135565.5205680354
2010-11-29,141677.0831505695,134129.1144819646,133726.88797018904
2010-11-30,137005.27305299975,129709.84344140434,128255.8348741585
2010-12-01,145774.1182240333,138012.97901991164,136626.84507573527
2010-12-02,151043.9309141724,143011.24560292196,142068.00170676017
2010-12-03,152405.65491246228,144301.34171477627,143398.39439951075
2010-12-06,152227.17353824666,144134.5610401376,143592.72142204735
2010-12-07,152485.36791629705,144380.7768480635,144026.22016462902
2010-12-08,154707.74794424302,146489.13295377285,147165.34899022034
2010-12-09,155281.970159947,147034.71199424082,147105.55606020906
2010-12-10,158081.18931694742,149679.8214364246,149302.94623812297
2010-12-13,156810.42085463874,148479.72461352957,147359.6760127569
2010-12-14,157128.9692046134,148777.0342571662,147225.14192023157
2010-12-15,155405.23482134446,147144.06759540748,145834.95629746973
2010-12-16,158143.3849106923,149731.1834970661,147972.5535453724
2010-12-17,159118.65820142493,150660.11878930082,149332.84270312858
2010-12-20,159551.72069655365,151069.57493404398,149407.5838656427
2010-12-21,162676.1230098328,154033.74134692788,152800.83264378185
2010-12-22,163044.73595369837,154382.0878026207,152322.48920369172
2010-12-23,162113.83853163678,153503.9930736187,151575.07757855093
2010-12-27,162518.1721956334,153891.55250360514,152561.66092373678
2010-12-28,162342.6395634198,153730.06448024366,152397.23036620583
2010-12-29,163069.24453818772,154415.16877944447,152800.83264378185
2010-12-30,162209.25866582466,153604.49388772002,152128.16218115514
2010-12-31,161606.30631610967,153042.03527991893,151739.50813608192
2011-01-03,167127.28857185636,158251.4377939317,155910.0650043675
2011-01-04,167242.95839258184,158360.96458393466,157240.4576971181
2011-01-05,170427.5468583692,161376.4248824851,159901.2430826193
