up,down,vwin,ventry,vexit,cagr,maxdd,sharpe,calmar,final,time_in_mkt,trades
20,5,10,,,4.407262821465796,-35.28133422398317,0.3204544386336205,0.12491769141967067,211935.6917626644,14.654188541428898,100
20,5,10,,60.0,1.660471408840647,-30.083114509948327,0.1969979273871661,0.055196126993152184,133216.34372839192,9.0162063455832,101
20,5,10,,70.0,0.6330593043692767,-38.784864537171124,0.11515432383003128,0.016322328617715227,111616.95033320457,10.887925131248572,101
20,5,10,,80.0,2.921410883634712,-36.89131467907526,0.2621568317130444,0.07918966588880431,165117.52473763318,12.50855968956859,101
20,5,10,,100.0,2.677372956282076,-43.16820614481579,0.24139799196420594,0.06202187200691938,158430.2566509378,13.809632503994521,100
20,5,10,,120.0,3.807315458023508,-35.28133422398317,0.29956022924657644,0.1079130237494083,191697.9778112437,14.33462679753481,100
20,5,10,,150.0,3.925781921004501,-35.281334223983194,0.2986095386321245,0.11127078970658293,195543.83281411743,14.517233508331431,100
20,5,10,90.0,,2.414618462016649,-41.964945897907334,0.22803921094455912,0.057538938996631914,151515.91122550343,13.216160693905502,90
20,5,10,90.0,60.0,1.3635610074410387,-30.083114509948306,0.17377219612442968,0.045326457371630095,126600.47598464284,8.787947957087423,91
20,5,10,90.0,70.0,0.33914957113612143,-37.714804886046174,0.09337168783018951,0.00899247847525259,106073.76425934982,10.659666742752796,91
20,5,10,90.0,80.0,3.161064032841998,-37.71480488604616,0.2793072402390397,0.08381493799034709,171942.88883688045,12.211823784524082,91
20,5,10,90.0,100.0,2.414618462016649,-41.964945897907334,0.22803921094455912,0.057538938996631914,151515.91122550343,13.216160693905502,90
20,5,10,90.0,120.0,2.414618462016649,-41.964945897907334,0.22803921094455912,0.057538938996631914,151515.91122550343,13.216160693905502,90
20,5,10,90.0,150.0,2.414618462016649,-41.964945897907334,0.22803921094455912,0.057538938996631914,151515.91122550343,13.216160693905502,90
20,5,10,120.0,,3.729400136378791,-35.28133422398317,0.2953530838678016,0.10570462309341064,189207.54858144597,14.31180095868523,98
20,5,10,120.0,60.0,1.5540152529872175,-30.083114509948295,0.18837715402669164,0.051657392470893085,130807.64400412329,8.970554667884045,99
20,5,10,120.0,70.0,0.5276790272876308,-38.85351646762177,0.1075417899736721,0.01358124245272284,109598.79167513896,10.842273453549419,99
20,5,10,120.0,80.0,2.8136343053261292,-36.89131467907525,0.2555120553084309,0.07626820377106328,162132.01616431322,12.462908011869436,99
20,5,10,120.0,100.0,2.569851928034117,-43.16820614481571,0.2351877100864384,0.05953112620462093,155565.66132554074,13.763980826295366,98
20,5,10,120.0,120.0,3.698611183884548,-35.28133422398315,0.2936803887042615,0.10483195336105933,188231.86507031627,14.288975119835653,98
20,5,10,120.0,150.0,3.729400136378791,-35.28133422398317,0.2953530838678016,0.10570462309341064,189207.54858144597,14.31180095868523,98
20,5,15,,60.0,1.0125341704031676,-28.962776217456888,0.14460149023698685,0.03495984510603916,119178.33691276184,8.833599634786578,101
20,5,15,,70.0,1.1994900666771224,-32.31976723712988,0.15597869455459476,0.03711320251400554,123078.71203570074,10.72814425930153,101
20,5,15,,80.0,2.5502647626971964,-32.716264822697426,0.24473953475017365,0.0779509756544063,155049.10200765697,12.052042912577038,101
20,5,15,,100.0,3.9986537123393173,-33.022853766065076,0.3211749925031502,0.12108746689992042,197945.52141564072,13.535722437799588,100
20,5,15,,120.0,2.7708190062922355,-43.1682061448158,0.24601764186373107,0.06418656816539947,160960.17581471792,13.992239214791145,100
20,5,15,,150.0,2.1253669498498606,-43.16820614481579,0.20624648762619888,0.04923454411610066,144233.60190770045,14.197671764437342,100
20,5,15,90.0,,2.635104739038452,-32.81523252543376,0.24705497947946545,0.08030126670582294,157298.2585189841,12.50855968956859,83
20,5,15,90.0,60.0,0.24787219984490072,-32.41931814849877,0.07899171940027498,0.007645817802506092,104405.76342400507,8.445560374343756,84
20,5,15,90.0,70.0,0.7129764656572668,-32.419318148498746,0.1200290210289718,0.02199233378047721,113170.75995329393,10.225975804610819,84
20,5,15,90.0,80.0,2.536438898646609,-32.81523252543376,0.24858416465561636,0.0772945581501127,154685.45550731127,11.504222780187172,84
20,5,15,90.0,100.0,2.635104739038452,-32.81523252543376,0.24705497947946545,0.08030126670582294,157298.2585189841,12.50855968956859,83
20,5,15,90.0,120.0,2.635104739038452,-32.81523252543376,0.24705497947946545,0.08030126670582294,157298.2585189841,12.50855968956859,83
20,5,15,90.0,150.0,2.635104739038452,-32.81523252543376,0.24705497947946545,0.08030126670582294,157298.2585189841,12.50855968956859,83
20,5,15,120.0,,2.5173413015785684,-43.909790689737626,0.23152015186889388,0.057329840612674765,154184.47437846393,13.900935859392833,96
20,5,15,120.0,60.0,0.763393163681636,-29.889724034826916,0.12385439736699326,0.0255403215764771,114161.46348737714,8.742296279388267,97
20,5,15,120.0,70.0,0.9498879450989817,-33.202910478069114,0.13789400870391125,0.0286085747129425,117897.65031225607,10.636840903903218,97
20,5,15,120.0,80.0,2.2973310410321135,-33.594234261058716,0.22805882826786805,0.06838468241840835,148522.23026534184,11.960739557178726,97
20,5,15,120.0,100.0,3.74214763122398,-33.59423426105871,0.30620462793879083,0.1113925562983214,189612.90282245574,13.444419082401279,96
20,5,15,120.0,120.0,2.5173413015785684,-43.909790689737626,0.23152015186889388,0.057329840612674765,154184.47437846393,13.900935859392833,96
20,5,15,120.0,150.0,2.5173413015785684,-43.909790689737626,0.23152015186889388,0.057329840612674765,154184.47437846393,13.900935859392833,96
20,5,20,,60.0,1.2796047340921657,-36.163372413254116,0.16672405514838276,0.03538399902170579,124786.66549026698,8.92490299018489,101
20,5,20,,70.0,2.4807608602788855,-32.053933967596805,0.24856210680836385,0.07739333533246424,153229.13875411262,11.02488016434604,101
20,5,20,,80.0,2.5738698140239658,-32.05393396759676,0.25121662906471975,0.08029809435016257,155671.82267465934,11.412919424788862,101
20,5,20,,100.0,3.4429858418302484,-36.57356871137269,0.28817283376109,0.09413863517124155,180312.41912831363,13.512896598950011,100
20,5,20,,120.0,2.7708190062922355,-43.1682061448158,0.24601764186373107,0.06418656816539947,160960.17581471792,13.992239214791145,100
20,5,20,,150.0,2.1253669498498606,-43.16820614481579,0.20624648762619888,0.04923454411610066,144233.60190770045,14.197671764437342,100
20,5,20,90.0,,3.9467132090158286,-34.75060609747882,0.3302815853975768,0.11357249994273237,196230.8538323406,12.394430495320703,81
20,5,20,90.0,60.0,1.7779938122044925,-32.05393396759677,0.21266564401457114,0.055468817462526174,135923.95863703816,8.491212052042913,82
20,5,20,90.0,70.0,2.9850607345082825,-32.053933967596834,0.29040685829877266,0.09312618967537233,166904.94161515604,10.591189226204063,82
20,5,20,90.0,80.0,3.078627870191797,-32.053933967596805,0.29126975285599405,0.09604524278685947,169565.63670525447,10.979228486646884,82
20,5,20,90.0,100.0,3.9467132090158286,-34.75060609747882,0.3302815853975768,0.11357249994273237,196230.8538323406,12.394430495320703,81
20,5,20,90.0,120.0,3.9467132090158286,-34.75060609747882,0.3302815853975768,0.11357249994273237,196230.8538323406,12.394430495320703,81
20,5,20,90.0,150.0,3.9467132090158286,-34.75060609747882,0.3302815853975768,0.11357249994273237,196230.8538323406,12.394430495320703,81
20,5,20,120.0,,2.9554979858864794,-39.585087837733504,0.257041734229496,0.0746619029368232,166072.50339955196,13.878110020543255,95
20,5,20,120.0,60.0,1.4616040042823908,-32.05393396759683,0.18253368633502773,0.04559827214219383,128750.07015838618,8.810773795937001,96
20,5,20,120.0,70.0,2.664918605898836,-32.05393396759683,0.26287072654631527,0.08313858163533967,158095.91743951052,10.910750970098151,96
20,5,20,120.0,80.0,2.7581948762687603,-32.05393396759679,0.2649660204019295,0.08604856049984409,160616.1845282218,11.298790230540973,96
20,5,20,120.0,100.0,3.6288727040365343,-33.59423426105869,0.2998687694567067,0.10802070009504583,186039.4019023569,13.398767404702122,95
