date,price,park_price,slope_up,slope_down,slope_up_prev,slope_down_prev,slope,vol,in_market,asset_ret,park_ret,park_active,strat_ret,strat_equity,bh_equity,park_bh_equity
2009-04-14,0.2959,6.5923,0.004394661654135339,4.283872480074998e-05,0.004840375939849624,,0.004394661654135339,94.52414236562635,False,-0.02439828552588197,-0.010759303721488589,True,-0.010759303721488589,98924.06962785115,97560.1714474118,98924.06962785115
2009-04-15,0.2901,6.5724,0.00404421052631579,0.00012167369901547107,0.004394661654135339,4.283872480074998e-05,0.00404421052631579,95.70397154209621,False,-0.019601216627238793,-0.0030186733006689614,True,-0.0030186733006689614,98625.45018007203,95647.87339268053,98625.45018007203
2009-04-16,0.3177,6.7676,0.00413421052631579,0.00020295007032348795,0.00404421052631579,0.00012167369901547107,0.00413421052631579,98.84540026708831,False,0.09513960703205782,0.029699957397602006,True,0.029699957397602006,101554.6218487395,104747.77448071218,101554.6218487395
2009-04-17,0.3175,6.7557,0.0041447368421052636,0.00028991443975621175,0.00413421052631579,0.00020295007032348795,0.0041447368421052636,91.02516919438966,False,-0.0006295247088446976,-0.001758378154737228,True,-0.001758378154737228,101376.05042016806,104681.83316848008,101376.05042016806
2009-04-20,0.2868,6.5406,0.003395187969924813,0.0003235712611345521,0.0041447368421052636,0.00028991443975621175,0.003395187969924813,104.05351365141244,False,-0.09669291338582675,-0.0318397797415515,True,-0.0318397797415515,98148.2593037215,94559.84174085066,98148.2593037215
2009-04-21,0.3019,6.6521,0.0033906015037593984,0.00037239099859353014,0.003395187969924813,0.0003235712611345521,0.0033906015037593984,106.43878413060774,False,0.05264993026499298,0.017047365685105342,True,0.017047365685105342,99821.42857142858,99538.41081437524,99821.42857142858
2009-04-22,0.3042,6.684,0.0031930827067669183,0.00042148030942334725,0.0033906015037593984,0.00037239099859353014,0.0031930827067669183,93.59341830069577,False,0.0076184166942696585,0.004795478119691499,True,0.004795478119691499,100300.12004801922,100296.73590504454,100300.12004801922
2009-04-23,0.3086,6.7158,0.002965563909774437,0.0004754805438349741,0.0031930827067669183,0.00042148030942334725,0.002965563909774437,90.13513470872734,False,0.014464168310321934,0.004757630161579929,True,0.004757630161579929,100777.31092436977,101747.44477415101,100777.31092436977
2009-04-24,0.3275,6.8114,0.0033815037593984973,0.0005414193624003749,0.002965563909774437,0.0004754805438349741,0.0033815037593984973,85.19357105940067,False,0.06124432922877521,0.014235087405819025,True,0.014235087405819025,102211.88475390157,107978.89878008573,102211.88475390157
2009-04-27,0.323,6.7796,0.003325187969924813,0.0006143741209563993,0.0033815037593984973,0.0005414193624003749,0.003325187969924813,85.04140438119828,False,-0.013740458015267132,-0.004668643744310974,True,-0.004668643744310974,101734.69387755104,106495.21925486319,101734.69387755104
2009-04-28,0.3177,6.7756,0.0027351127819548885,0.0006883485700890763,0.003325187969924813,0.0006143741209563993,0.0027351127819548885,84.30446345963097,False,-0.016408668730650278,-0.0005900053100478253,True,-0.0005900053100478253,101674.66986794717,104747.77448071218,101674.66986794717
2009-04-29,0.3363,6.8513,0.00246827067669173,0.0008062025316455695,0.0027351127819548885,0.0006883485700890763,0.00246827067669173,86.22030045037589,False,0.05854579792256853,0.011172442292933571,True,0.011172442292933571,102810.62424969989,110880.31651829873,102810.62424969989
2009-04-30,0.3407,6.8712,0.002423533834586467,0.0009288478668541961,0.00246827067669173,0.0008062025316455695,0.002423533834586467,75.12171977022398,False,0.013083556348498337,0.0029045582590165875,True,0.0029045582590165875,103109.243697479,112331.02538740523,103109.243697479
2009-05-01,0.3471,6.9628,0.002739548872180452,0.0010794456165025784,0.002423533834586467,0.0009288478668541961,0.002739548872180452,75.196189784102,False,0.01878485471088931,0.013331004773547539,True,0.013331004773547539,104483.79351740697,114441.14737883284,104483.79351740697
2009-05-04,0.3666,7.0903,0.0034521052631578952,0.00121663033286451,0.002739548872180452,0.0010794456165025784,0.0034521052631578952,46.15700320772793,False,0.05617977528089879,0.018311598782099203,True,0.018311598782099203,106397.05882352943,120870.42532146389,106397.05882352943
2009-05-05,0.3616,7.0464,0.003849473684210526,0.0013510642287857476,0.0034521052631578952,0.00121663033286451,0.003849473684210526,47.135981633432316,False,-0.013638843426077463,-0.006191557479937382,True,-0.006191557479937382,105738.29531812726,119221.89251566105,105738.29531812726
2009-05-06,0.3601,7.0863,0.0037337593984962405,0.0014646554149085795,0.003849473684210526,0.0013510642287857476,0.0037337593984962405,48.22180312556714,False,-0.00414823008849563,0.005662465940054373,True,0.005662465940054373,106337.03481392558,118727.33267392019,106337.03481392558
2009-05-07,0.3257,6.8154,0.0032414285714285705,0.0015347093295827471,0.0037337593984962405,0.0014646554149085795,0.0032414285714285705,76.19531972237664,False,-0.09552901971674532,-0.03822869480546964,True,-0.03822869480546964,102271.90876350543,107385.42696999668,102271.90876350543
2009-05-08,0.3239,6.8074,0.003049924812030075,0.0015959751523675575,0.0032414285714285705,0.0015347093295827471,0.003049924812030075,70.02143924997083,False,-0.005526558182376351,-0.00117381224873081,True,-0.00117381224873081,102151.86074429774,106791.95515990767,102151.86074429774
2009-05-11,0.3261,6.8274,0.002788872180451127,0.0016348839662447255,0.003049924812030075,0.0015959751523675575,0.002788872180451127,69.73592268306585,False,0.006792219820932255,0.002937979257866319,True,0.002937979257866319,102451.98079231694,107517.30959446091,102451.98079231694
2009-05-12,0.3199,6.7915,0.002288120300751879,0.001669633145804032,0.002788872180451127,0.0016348839662447255,0.002288120300751879,69.93459822404753,False,-0.019012572830420016,-0.00525822421419575,True,-0.00525822421419575,101913.26530612246,105473.1289152654,101913.26530612246
2009-05-13,0.2955,6.6202,0.0013111278195488722,0.0016872245663384904,0.002288120300751879,0.001669633145804032,0.0013111278195488722,72.663214106508,False,-0.07627383557361689,-0.0252227048516529,True,-0.0252227048516529,99342.73709483792,97428.28882294756,99342.73709483792
2009-05-14,0.3071,6.6919,0.0009275187969924804,0.001680266057196437,0.0013111278195488722,0.0016872245663384904,0.0009275187969924804,76.25141552443446,False,0.039255499153976414,0.01083048850487911,True,0.01083048850487911,100418.6674669868,101252.88493241016,100418.6674669868
2009-05-15,0.3084,6.6919,0.0005752631578947367,0.0016994432723863103,0.0009275187969924804,0.001680266057196437,0.0005752631578947367,75.05232777647582,False,0.004233148811462195,0.0,True,0.0,100418.6674669868,101681.50346191891,100418.6674669868
2009-05-18,0.3329,6.8752,0.00010195488721804428,0.0017281528363806845,0.0005752631578947367,0.0016994432723863103,0.00010195488721804428,81.01560887827102,False,0.07944228274967569,0.027391323839268455,True,0.027391323839268455,103169.26770708285,109759.31421035281,103169.26770708285
2009-05-19,0.3416,6.915,-7.796992481203038e-05,0.0017716104078762305,0.00010195488721804428,0.0017281528363806845,-7.796992481203038e-05,82.86611245992597,False,0.026133974166416385,0.005788922504072591,True,0.005788922504072591,103766.50660264108,112627.76129244975,103766.50660264108
