date,price,slope_up,slope_down,slope_up_prev,slope_down_prev,slope,in_market,asset_ret,strat_ret,strat_equity,bh_equity
2009-05-12,0.3199,0.0009076639663966395,0.0014692857142857142,,0.0025996428571428564,0.0009076639663966395,False,-0.019012572830420016,0.0,100000.0,98098.742716958
2009-05-13,0.2955,0.0009396759675967597,-0.00026964285714285697,0.0009076639663966395,0.0014692857142857142,0.0009396759675967597,False,-0.07627383557361689,0.0,100000.0,90616.3753449862
2009-05-14,0.3071,0.0009638361836183619,-0.0015617857142857148,0.0009396759675967597,-0.00026964285714285697,0.0009638361836183619,False,0.039255499153976414,0.0,100000.0,94173.5663906777
2009-05-15,0.3084,0.0009928748874887489,-0.0022760714285714285,0.0009638361836183619,-0.0015617857142857148,0.0009928748874887489,False,0.004233148811462195,0.0,100000.0,94572.21711131556
2009-05-18,0.3329,0.0010208982898289828,-0.0024382142857142857,0.0009928748874887489,-0.0022760714285714285,0.0010208982898289828,False,0.07944228274967569,0.0,100000.0,102085.2499233364
2009-05-19,0.3416,0.0010544776477647766,-0.0025696428571428563,0.0010208982898289828,-0.0024382142857142857,0.0010544776477647766,False,0.026133974166416385,0.0,100000.0,104753.14320760506
2009-05-20,0.3317,0.0010807350735073506,-0.0025025,0.0010544776477647766,-0.0025696428571428563,0.0010807350735073506,False,-0.028981264637002346,0.0,100000.0,101717.26464274764
2009-05-21,0.3178,0.0010991695169516949,-0.0026407142857142853,0.0010807350735073506,-0.0025025,0.0010991695169516949,False,-0.041905336147120775,0.0,100000.0,97454.76847592766
2009-05-22,0.3136,0.0011116831683168314,-0.002619285714285713,0.0010991695169516949,-0.0026407142857142853,0.0011116831683168314,False,-0.013215859030837107,0.0,100000.0,96166.81999386693
2009-05-26,0.3446,0.001150220822082208,-0.001146071428571427,0.0011116831683168314,-0.002619285714285713,0.001150220822082208,False,0.0988520408163267,0.0,100000.0,105673.10640907701
2009-05-27,0.3377,0.0011884308430843084,9.035714285714381e-05,0.001150220822082208,-0.001146071428571427,0.0011884308430843084,False,-0.020023215322112597,0.0,100000.0,103557.19104569155
2009-05-28,0.3523,0.0012522982298229823,0.0017342857142857147,0.0011884308430843084,9.035714285714381e-05,0.0012522982298229823,False,0.043233639324844475,0.0,100000.0,108034.34529285498
2009-05-29,0.3632,0.0013230801080108012,0.002695714285714286,0.0012522982298229823,0.0017342857142857147,0.0013230801080108012,False,0.030939540164632406,0.0,100000.0,111376.87825820304
2009-06-01,0.4003,0.0014298727872787279,0.004399285714285715,0.0013230801080108012,0.002695714285714286,0.0014298727872787279,False,0.10214757709251088,0.0,100000.0,122753.75651640604
2009-06-02,0.3937,0.0015121428142814283,0.005727857142857143,0.0014298727872787279,0.004399285714285715,0.0015121428142814283,False,-0.016487634274294227,0.0,100000.0,120729.83747316776
2009-06-03,0.3865,0.0015912883288328832,0.006457857142857144,0.0015121428142814283,0.005727857142857143,0.0015912883288328832,False,-0.01828803657607314,0.0,100000.0,118521.92578963512
2009-06-04,0.4021,0.0016672343234323433,0.006642857142857143,0.0015912883288328832,0.006457857142857144,0.0016672343234323433,False,0.040362225097024584,0.0,100000.0,123305.73443728921
2009-06-05,0.41,0.0017402106210621063,0.006976071428571427,0.0016672343234323433,0.006642857142857143,0.0017402106210621063,False,0.01964685401641364,0.0,100000.0,125728.3042011653
2009-06-08,0.4071,0.0018061344134413437,0.006906428571428571,0.0017402106210621063,0.006976071428571427,0.0018061344134413437,False,-0.007073170731707212,0.0,100000.0,124839.00643974244
2009-06-09,0.4195,0.0018630927092709267,0.007494285714285714,0.0018061344134413437,0.006906428571428571,0.0018630927092709267,False,0.030459346597887516,0.0,100000.0,128641.52100582646
2009-06-10,0.4183,0.001919542754275428,0.007991428571428571,0.0018630927092709267,0.007494285714285714,0.001919542754275428,False,-0.0028605482717520836,0.0,100000.0,128273.5357252377
2009-06-11,0.4227,0.0019811803180318035,0.008041785714285713,0.001919542754275428,0.007991428571428571,0.0019811803180318035,False,0.01051876643557259,0.0,100000.0,129622.81508739655
2009-06-12,0.421,0.002017941194119412,0.007327500000000001,0.0019811803180318035,0.008041785714285713,0.002017941194119412,False,-0.004021764845043796,0.0,100000.0,129101.50260656244
2009-06-15,0.4017,0.0020581146114611462,0.005642142857142856,0.002017941194119412,0.007327500000000001,0.0020581146114611462,False,-0.04584323040380045,0.0,100000.0,123183.07267709295
2009-06-16,0.3884,0.002081117311731173,0.004195357142857143,0.0020581146114611462,0.005642142857142856,0.002081117311731173,False,-0.03310928553646997,0.0,100000.0,119104.56915056733
2009-06-17,0.3973,0.0021133675367536755,0.0026175000000000005,0.002081117311731173,0.004195357142857143,0.0021133675367536755,False,0.022914521112255226,0.0,100000.0,121833.79331493407
2009-06-18,0.3907,0.002143003900390039,0.001078928571428571,0.0021133675367536755,0.0026175000000000005,0.002143003900390039,False,-0.01661213189025923,0.0,100000.0,119809.87427169581
2009-06-19,0.4063,0.002185603360336034,0.00010464285714285712,0.002143003900390039,0.001078928571428571,0.002185603360336034,False,0.03992833375991811,0.0,100000.0,124593.68291934989
2009-06-22,0.3721,0.0022202940294029404,-0.0008185714285714292,0.002185603360336034,0.00010464285714285712,0.0022202940294029404,False,-0.08417425547624913,0.0,100000.0,114106.10242256976
2009-06-23,0.369,0.0022370351035103514,-0.0019071428571428581,0.0022202940294029404,-0.0008185714285714292,0.0022370351035103514,False,-0.008331093791991373,0.0,100000.0,113155.47378104876
2009-06-24,0.3863,0.0022504170417041703,-0.002680714285714287,0.0022370351035103514,-0.0019071428571428581,0.0022504170417041703,False,0.04688346883468819,0.0,100000.0,118460.59490953693
2009-06-25,0.4077,0.002278792679267927,-0.0024728571428571434,0.0022504170417041703,-0.002680714285714287,0.002278792679267927,False,0.05539735956510494,0.0,100000.0,125022.99908003678
2009-06-26,0.4071,0.0023113453345334537,-0.002074285714285715,0.002278792679267927,-0.0024728571428571434,0.0023113453345334537,False,-0.0014716703458425018,0.0,100000.0,124839.0064397424
2009-06-29,0.4142,0.002348971497149715,-0.0015707142857142855,0.0023113453345334537,-0.002074285714285715,0.002348971497149715,False,0.017440432326209843,0.0,100000.0,127016.252683226
2009-06-30,0.4091,0.002389850585058506,-0.0008657142857142853,0.002348971497149715,-0.0015707142857142855,0.002389850585058506,False,-0.012312892322549507,0.0,100000.0,125452.3152407237
2009-07-01,0.4151,0.002449167116711671,-7.857142857141794e-06,0.002389850585058506,-0.0008657142857142853,0.002449167116711671,False,0.014666340747983453,0.0,100000.0,127292.24164366758
2009-07-02,0.3891,0.002493443144314432,0.00033714285714285866,0.002449167116711671,-7.857142857141794e-06,0.002493443144314432,False,-0.06263550951577934,0.0,100000.0,119319.22723091078
2009-07-06,0.3807,0.002510455445544554,0.0005435714285714292,0.002493443144314432,0.00033714285714285866,0.002510455445544554,False,-0.021588280647648506,0.0,100000.0,116743.33026678933
2009-07-07,0.3527,0.00251006300630063,-0.0003574999999999991,0.002510455445544554,0.0005435714285714292,0.00251006300630063,False,-0.07354872603099549,0.0,100000.0,108157.00705305123
2009-07-08,0.3544,0.0025125640564056407,-0.0014210714285714274,0.00251006300630063,-0.0003574999999999991,0.0025125640564056407,False,0.004819960306209126,0.0,100000.0,108678.31953388531
2009-07-09,0.3594,0.002515293129312931,-0.0019839285714285705,0.0025125640564056407,-0.0014210714285714274,0.002515293129312931,False,0.014108352144469594,0.0,100000.0,110211.59153633854
2009-07-10,0.3645,0.0024995517551755176,-0.0024725,0.002515293129312931,-0.0019839285714285705,0.0024995517551755176,False,0.014190317195325486,0.0,100000.0,111775.52897884084
2009-07-13,0.3865,0.0024957053705370537,-0.0018717857142857143,0.0024995517551755176,-0.0024725,0.0024957053705370537,False,0.06035665294924564,0.0,100000.0,118521.92578963509
2009-07-14,0.3906,0.0024800186018601863,-0.0020750000000000005,0.0024957053705370537,-0.0018717857142857143,0.0024800186018601863,False,0.010608020698577025,0.0,100000.0,119779.20883164677
2009-07-15,0.4402,0.002491652565256525,-0.0011928571428571442,0.0024800186018601863,-0.0020750000000000005,0.002491652565256525,False,0.12698412698412698,0.0,100000.0,134989.26709598285
2009-07-16,0.4609,0.0024972703270327037,0.0004467857142857123,0.002491652565256525,-0.0011928571428571442,0.0024972703270327037,False,0.04702407996365299,0.0,100000.0,141337.01318613926
2009-07-17,0.475,0.0025170027002700272,0.002783928571428569,0.0024972703270327037,0.0004467857142857123,0.0025170027002700272,False,0.030592319375135624,0.0,100000.0,145660.84023305742
2009-07-20,0.4883,0.0025420834083408335,0.005196071428571427,0.0025170027002700272,0.002783928571428569,0.0025420834083408335,False,0.028000000000000025,0.0,100000.0,149739.34375958302
2009-07-21,0.497,0.002564849084908491,0.007738571428571426,0.0025420834083408335,0.005196071428571427,0.002564849084908491,False,0.01781691583043199,0.0,100000.0,152407.23704385164
2009-07-22,0.5056,0.0025880276027602763,0.010054642857142857,0.002564849084908491,0.007738571428571426,0.0025880276027602763,False,0.01730382293762589,0.0,100000.0,155044.46488807123
2009-07-23,0.5307,0.0026120864086408638,0.012825000000000001,0.0025880276027602763,0.010054642857142857,0.0026120864086408638,False,0.049643987341772,0.0,100000.0,162741.49034038646
2009-07-24,0.5206,0.0026260966096609654,0.014187142857142858,0.0026120864086408638,0.012825000000000001,0.0026260966096609654,False,-0.01903146787262111,0.0,100000.0,159644.28089543091
2009-07-27,0.5146,0.0026398331833183317,0.014689642857142854,0.0026260966096609654,0.014187142857142858,0.0026398331833183317,False,-0.011525163273146344,0.0,100000.0,157804.354492487
2009-07-28,0.5205,0.0026423438343834383,0.014061428571428567,0.0026398331833183317,0.014689642857142854,0.0026423438343834383,False,0.011465215701515818,0.0,100000.0,159613.61545538183
2009-07-29,0.5161,0.0026352871287128716,0.012772499999999997,0.0026423438343834383,0.014061428571428567,0.0026352871287128716,False,-0.008453410182516774,0.0,100000.0,158264.33609322298
2009-07-30,0.5221,0.00262011401140114,0.011198928571428573,0.0026352871287128716,0.012772499999999997,0.00262011401140114,False,0.011625653943034386,0.0,100000.0,160104.2624961669
2009-07-31,0.5208,0.0026179663966396636,0.009157500000000002,0.00262011401140114,0.011198928571428573,0.0026179663966396636,False,-0.0024899444550852134,0.0,100000.0,159705.61177552908
2009-08-03,0.5411,0.002631993399339934,0.007693928571428574,0.0026179663966396636,0.009157500000000002,0.002631993399339934,False,0.03897849462365599,0.0,100000.0,165930.69610548922
2009-08-04,0.5391,0.00264995799579958,0.005745357142857145,0.002631993399339934,0.007693928571428574,0.00264995799579958,False,-0.003696174459434487,0.0,100000.0,165317.38730450792
2009-08-05,0.5267,0.002655284728472848,0.004373571428571429,0.00264995799579958,0.005745357142857145,0.002655284728472848,False,-0.023001298460397113,0.0,100000.0,161514.87273842387
2009-08-06,0.5145,0.002644094809480948,0.0029792857142857143,0.002655284728472848,0.004373571428571429,0.002644094809480948,False,-0.02316309094361113,0.0,100000.0,157773.68905243799
2009-08-07,0.5282,0.002649874587458746,0.0021389285714285716,0.002644094809480948,0.0029792857142857143,0.002649874587458746,False,0.026627793974732805,0.0,100000.0,161974.85433915985
2009-08-10,0.5184,0.00265214401440144,0.0012435714285714283,0.002649874587458746,0.0021389285714285716,0.00265214401440144,False,-0.018553578190079523,0.0,100000.0,158969.64121435152
2009-08-11,0.5034,0.0026443546354635457,0.00011428571428571359,0.00265214401440144,0.0012435714285714283,0.0026443546354635457,False,-0.02893518518518523,0.0,100000.0,154369.82520699178
