entry_date,entry_px,exit_date,exit_px,ret_pct,days
2010-12-06,0.9606,2011-08-11,0.7696,-19.883406204455557,248
2012-02-23,1.2502,2012-11-06,1.1424,-8.622620380739077,257
2013-02-14,1.1983,2013-04-19,1.1436,-4.564800133522484,64
2013-05-20,1.5012,2015-09-10,2.7527,83.36664002131626,843
2016-04-14,3.6057,2018-12-19,7.9872,121.5159331059156,979
2019-06-13,13.7017,2020-06-01,17.9034,30.66553785296715,354
2020-08-13,27.1095,2022-04-12,45.423,67.55380955015771,607
2023-05-12,33.7915,2025-03-12,59.7577,76.84240119556694,670
2025-08-28,99.773,2026-06-17,216.97,117.46364246840328,293
