entry_date,entry_px,exit_date,exit_px,ret_pct,days
2009-04-06,0.2919,2010-02-05,0.6433,120.38369304556356,305
2010-03-22,0.8486,2010-05-20,0.6571,-22.566580249823243,59
2010-08-03,0.713,2010-08-18,0.6273,-12.019635343618518,15
2010-09-30,0.7512,2011-03-17,0.9493,26.37113951011716,168
2011-05-06,1.1292,2011-06-07,0.9599,-14.992915338292601,32
2011-07-26,1.148,2011-08-12,0.7912,-31.08013937282229,17
2011-10-13,0.9035,2011-12-15,0.7934,-12.18594355285002,63
2012-01-20,1.0037,2012-05-09,1.2193,21.48052206834712,110
2012-07-25,1.016,2012-10-22,1.1749,15.63976377952756,89
2013-01-03,1.1849,2013-07-05,1.3752,16.060427040256563,183
2013-08-01,1.4873,2014-04-25,2.0518,37.95468298258589,267
2014-05-15,2.1605,2014-10-15,2.3528,8.90071742652163,153
2014-11-14,3.2133,2015-01-15,2.8591,-11.022935922571797,62
2015-02-20,3.5287,2015-04-15,3.3174,-5.988040921585858,54
2015-05-07,3.3554,2015-06-30,3.1347,-6.5774572331167676,54
2015-10-22,3.2756,2015-12-30,3.4557,5.498229332030791,69
2016-03-14,3.2021,2016-05-12,3.101,-3.1573030198931984,59
2016-06-22,3.3447,2016-11-11,4.1086,22.839118605555054,142
2016-12-14,4.6715,2017-07-12,7.0723,51.392486353419685,210
2017-07-20,7.5661,2018-03-28,9.8552,30.254688677125596,251
2018-05-22,12.1381,2018-10-15,11.894,-2.0110231420073954,146
2019-02-13,10.3335,2019-05-30,11.9403,15.549426622151262,106
2019-07-08,15.1666,2019-08-26,14.0597,-7.2982738385663275,49
2019-10-04,15.2445,2020-03-10,17.4472,14.44914559349273,158
2020-05-13,14.8347,2020-10-09,30.4895,105.52825470012874,149
2020-10-16,31.1224,2020-10-22,29.1917,-6.203570418733772,6
2020-11-12,29.5913,2021-03-19,35.3955,19.614548870782954,127
2021-04-15,47.7789,2021-06-04,43.6603,-8.620123108736289,50
2021-06-25,48.9239,2021-10-05,52.9594,8.248524749662224,102
2021-11-04,71.4744,2022-01-20,58.6432,-17.952161892929496,77
2022-08-04,39.5401,2022-09-19,25.9679,-34.32515345181222,46
2022-11-23,26.5979,2023-01-03,19.9424,-25.02265216426861,41
2023-02-06,28.4931,2023-08-21,44.1832,55.06631430065525,196
2023-11-15,53.534,2024-04-18,62.148,16.090708708484346,155
2024-05-29,78.8615,2024-08-06,60.4097,-23.397728929832684,69
2024-09-30,81.8143,2025-01-16,81.6689,-0.17771954291609937,108
2025-05-20,70.1729,2025-12-01,116.9143,66.60890457712307,195
2026-01-16,120.5743,2026-02-06,107.378,-10.94453793221275,21
2026-04-20,134.18,2026-06-17,216.97,61.70070055149799,58
