entry_date,entry_px,exit_date,exit_px,ret_pct,days
2009-02-13,0.2546,2009-02-19,0.2018,-20.738413197172033,6
2009-03-19,0.2297,2010-02-02,0.6748,193.7744884632129,320
2010-02-22,0.729,2010-05-14,0.7805,7.064471879286693,81
2010-06-17,0.7517,2010-08-26,0.5484,-27.045363841958235,70
2010-09-10,0.6227,2011-03-14,1.0548,69.39136020555642,185
2011-04-05,1.0474,2011-06-06,0.9721,-7.189230475463059,62
2011-07-05,1.0565,2011-08-11,0.7696,-27.15570279223852,37
2011-09-14,0.7873,2011-12-01,0.8855,12.473009018163328,78
2011-12-13,0.8446,2012-05-02,1.3814,63.55671323703527,141
2012-06-20,1.147,2012-10-16,1.2975,13.121185701830873,118
2012-12-03,1.112,2013-04-24,1.2124,9.028776978417241,142
2013-05-01,1.2872,2013-06-26,1.2963,0.7069608452455078,56
2013-07-12,1.4721,2013-09-04,1.4325,-2.690034644385564,54
2013-09-13,1.5048,2014-02-07,1.945,29.253056884635843,147
2014-02-19,2.0877,2014-04-15,2.0488,-1.8632945346553575,55
2014-05-02,2.165,2014-10-09,2.6813,23.847575057736712,160
2014-10-31,2.9682,2015-01-07,2.9671,-0.03705949733845415,68
2015-02-10,3.1879,2015-04-02,3.1499,-1.1920072775181145,51
2015-04-21,3.298,2015-06-18,3.4848,5.664038811400851,58
2015-07-21,3.5839,2015-08-12,3.3047,-7.7903959373866405,22
2015-09-17,2.8573,2015-12-18,3.1656,10.789906555139472,92
2016-02-05,2.529,2016-05-05,3.0028,18.73467773823647,90
2016-05-25,3.4038,2016-11-07,4.2223,24.046653739937707,166
2016-11-23,4.3687,2017-07-05,6.5767,50.54135097397396,224
2017-07-18,7.4006,2018-02-26,12.5814,70.00513471880659,223
2018-02-28,11.9397,2018-04-06,9.7414,-18.41168538572996,37
2018-04-19,11.1396,2018-10-12,12.5037,12.245502531509223,176
2019-01-16,8.3476,2019-05-23,12.0593,44.46427715750636,127
2019-06-13,13.7017,2019-08-15,13.4344,-1.9508528138844072,63
2019-08-30,14.718,2020-03-04,22.2928,51.46623182497623,187
2020-04-09,12.3051,2020-09-28,27.6927,125.05058878026185,172
2020-10-06,27.2105,2021-03-10,35.6356,30.962679847852836,155
2021-03-29,37.5102,2021-05-21,40.3544,7.582470901248195,53
2021-06-01,41.6749,2021-09-30,52.3037,25.50408039371419,121
2021-10-20,61.9075,2022-01-14,68.6672,10.919032427411857,86
2022-02-15,58.8563,2022-04-25,42.5696,-27.671973943316175,69
2022-06-03,35.6862,2022-09-12,32.5919,-8.670858763331479,101
2022-10-27,21.9657,2022-12-29,20.6108,-6.168253231174048,63
2023-01-17,23.7396,2023-08-16,42.9352,80.8589866720585,211
2023-09-01,50.3115,2024-04-16,67.2555,33.67818490802301,228
2024-05-10,69.7485,2024-08-01,70.5512,1.1508491222033346,83
2024-08-21,84.2726,2025-01-13,78.3864,-6.984713892771799,145
2025-02-19,92.0961,2025-11-24,109.4673,18.862036503174394,278
2025-12-10,130.7037,2026-01-26,121.1037,-7.344857108100222,47
2026-01-29,122.5922,2026-06-17,216.97,76.98515892528235,139
