entry_date,entry_px,exit_date,exit_px,ret_pct,days
2010-10-08,0.7757,2011-05-10,1.1679,50.56078380817326,214
2011-12-08,0.8737,2012-06-12,1.0628,21.643584754492373,187
2012-09-07,1.3704,2012-11-26,1.0999,-19.738762405137177,80
2013-03-04,1.1879,2015-07-10,3.131,163.57437494738613,858
2015-07-20,3.643,2015-08-18,3.3356,-8.438100466648368,29
2015-11-17,3.3475,2016-02-04,2.7618,-17.496639283047056,79
2016-04-19,3.5475,2018-05-03,10.7017,201.66878083157152,744
2018-06-05,13.4925,2018-10-31,11.4359,-15.242542153047989,148
2019-03-19,12.5061,2020-03-25,9.7728,-21.855734401612015,372
2020-07-07,22.314,2022-02-23,46.5718,108.71112306175496,596
2023-02-03,29.5608,2023-10-09,43.82,48.23685421233526,248
2023-12-06,53.5899,2024-09-18,72.916,36.06295216076163,287
2024-11-20,84.8334,2025-02-27,70.8863,-16.440576471059742,99
2025-07-02,88.3769,2026-02-06,107.378,21.500075245907002,219
2026-05-06,176.03,2026-06-17,216.97,23.25739930693631,42
