entry_date,entry_px,exit_date,exit_px,ret_pct,days
2023-03-17,29.7372,2023-04-26,30.9903,4.2139138856381875,40
2023-05-08,34.0241,2023-08-07,47.4616,39.49406450133877,91
2023-09-01,50.3115,2023-09-20,42.395,-15.734971129860964,19
2023-10-13,43.3078,2023-10-27,37.4216,-13.591547019243656,14
2023-11-09,47.592,2024-01-08,58.2924,22.483610690872414,60
2024-01-22,69.7514,2024-02-22,73.2478,5.012659244115514,31
2024-02-23,72.6791,2024-03-28,74.8279,2.9565583503373016,34
2024-04-03,73.7261,2024-04-04,70.234,-4.73658582238855,1
2024-05-10,69.7485,2024-07-23,87.974,26.130311046115672,74
2024-08-21,84.2726,2024-09-09,63.9803,-24.07935675415259,19
2024-09-24,79.7113,2024-11-04,77.9073,-2.263167204649763,41
2024-11-12,90.9464,2024-12-04,95.8255,5.3648082826808,22
2024-12-06,95.1992,2024-12-30,86.9901,-8.623076664509789,24
2025-02-19,92.0961,2025-02-28,73.2523,-20.461018436176992,9
2025-04-30,51.7597,2025-08-22,95.476,84.46011085844778,114
2025-08-29,95.2033,2025-09-02,92.3072,-3.0420164006919936,4
2025-09-12,104.0325,2025-11-17,114.7893,10.33984572128901,66
2025-12-10,130.7037,2025-12-26,123.8708,-5.227778555618546,16
2026-01-09,122.2825,2026-01-21,115.7493,-5.3427105268538,12
2026-01-29,122.5922,2026-02-03,110.7845,-9.63168945495717,5
2026-04-13,112.67,2026-06-17,216.97,92.57122570338154,65
